,TranslatedIngredients
0,"Karela (Bitter Gourd/ Pavakkai),Salt,Onion,tablespoon Gram flour (besan),teaspoons Turmeric powder (Haldi),tablespoon Red Chilli powder,teaspoons Cumin seeds (Jeera),tablespoon Coriander Powder (Dhania),tablespoon Amchur (Dry Mango Powder),Sunflower Oil"
1,"/  cups rice,tomatoes,teaspoons BC Belle Bhat powder,salt,teaspoon chickpea lentils,/ teaspoon cumin seeds,teaspoon white urad dal,/ Teaspoon mustard,green chilli,dry red chilli,teaspoon cashew,/  tablespoon oil"
2,"cups Rice Vermicelli Noodles (Thin),Onion,/ cup Carrots (Gajjar),/ cup Green peas (Matar),Green Chillies,/ teaspoon Asafoetida (hing),teaspoon Mustard seeds,teaspoon White Urad Dal (Split),teaspoon Ghee,sprig Curry leaves,Salt,teaspoon Lemon juice"
3,"grams Chicken,Onion,Tomato,Green Chillies,inch Ginger,cloves Garlic,/ teaspoon Turmeric powder (Haldi),teaspoon Garam masala powder,tablespoon Sesame (Gingelly) Oil,Salt,/ teaspoon Methi Seeds (Fenugreek Seeds),tablespoon Coriander (Dhania) Seeds,Dry Red Chillies,teaspoon Fennel seeds (Saunf),teaspoon Sesame (Gingelly) Oil,cloves Garlic,cups Sorrel Leaves (Gongura),Salt"
4,"tablespoon chana dal,tablespoon white urad dal,red chillies,tablespoon coriander seeds,inches ginger,onion,tomato,salt,Teaspoon mustard,asafoetida,oil,sprig curry"
5,"cup Rice,/ cup Yellow Moong Dal (Split),cup Mint Leaves (Pudina),/ cup Coriander (Dhania) Leaves,Green Chilli,inch Ginger,teaspoon Cumin seeds (Jeera),cups Water,teaspoon Sunflower Oil,Salt,tablespoons Ghee,Cashew nuts,teaspoon Cumin seeds (Jeera),teaspoon Whole Black Peppercorns,sprig Curry leaves,pinch Asafoetida (hing)"
6,"grams Vellai Poosanikai (Ash gourd/White Pumpkin),/ teaspoon Turmeric powder (Haldi),Salt,Sunflower Oil,Dry Red Chillies,/ cup Fresh coconut,grams Tamarind Water,/ teaspoon Methi Seeds (Fenugreek Seeds),/ teaspoon Cumin seeds (Jeera),teaspoons Coriander (Dhania) Seeds,teaspoons Sesame seeds (Til seeds),tablespoons Jaggery,cup Tamarind Water,teaspoon Sunflower Oil,/ teaspoon Mustard seeds,sprig Curry leaves,Dry Red Chillies"
7,"Tortillas,/ cup Black beans,to  Spinach Leaves (Palak),Onion,Tomato,cloves Garlic,sprig Coriander (Dhania) Leaves,cup Rice,Lemon juice,Spring Onion Greens,tablespoons Cheddar cheese,tablespoon Hung Curd (Greek Yogurt)"
8,"Idli,cup Green Bell Pepper (Capsicum),cup Tomato,cup Onions,Green Chillies,/ teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),tablespoons Tomato Ketchup,Coriander (Dhania) Leaves,Mint Leaves (Pudina),teaspoons Sunflower Oil,Salt"
9,"cup cabbage leaves,/ cup tomatoes,grams tamarind,tablespoons white urad dal,red chillies,salt,asafoetida,cloves garlic,turmeric powder,big Spoon oil,teaspoon Rye,/ teaspoon Cumin seeds,sprig Curry leaves"
10,"grams Dry beans,teaspoon Extra Virgin Olive Oil,Onion,clove Garlic,grams Tomatoes,tablespoon Honey,teaspoon Cumin powder (Jeera),teaspoon Dried oregano,/ teaspoon Red Chilli powder,Salt and Pepper"
11,"Burger buns,Pickled Jalapenos,Cheese Slices,Potatoes (Aloo),Onion,tablespoon Red Chilli powder,Salt,Whole Egg,/ cup Whole Wheat Bread crumbs,cloves Garlic,Onions,Tomatoes,cup Homemade tomato puree,Green Bell Pepper (Capsicum),/ cup Soy granules,tablespoon Red Chilli powder,teaspoon Red Chilli flakes,tablespoon Cumin powder (Jeera),tablespoon Dried oregano,tablespoon Tabasco Original,teaspoon Honey,Salt,Sunflower Oil"
12,"cup Tamarind Water,/ cup Arhar dal (Split Toor Dal),teaspoon Asafoetida (hing),Salt,teaspoon Mustard seeds,teaspoon Cumin seeds (Jeera),teaspoon Methi Seeds (Fenugreek Seeds),sprig Curry leaves,pinch Asafoetida (hing),Sunflower Oil"
13,"grams Aar Maach (fish),Tomato,Bay leaves (tej patta),tablespoons Ginger,Green Chillies,teaspoon Cumin powder (Jeera),teaspoon Coriander Powder (Dhania),Salt,/ teaspoon Cumin seeds (Jeera),/ teaspoon Turmeric powder (Haldi),Green Chillies,Mustard oil,cups Water,Sugar,tablespoon Coriander (Dhania) Leaves"
14,"Potatoes (Aloo),teaspoon Fennel seeds (Saunf),teaspoon Red Chilli powder,teaspoon Turmeric powder (Haldi),/ cup Fresh cream,sprig Coriander (Dhania) Leaves"
15,"onions,teaspoon cumin seeds,tablespoons black urad dal (split),tablespoon tamarind paste,dry red chillies,/ teaspoon jaggery,teaspoons oil,salt,as per taste Rye,sprig curry leaves,/ teaspoon oil"
16,"Whole Eggs,Cinnamon Stick (Dalchini),Bay leaf (tej patta),Cloves (Laung),tablespoon Sunflower Oil,teaspoons Coriander Powder (Dhania),teaspoon Garam masala powder,tablespoons Fresh cream,cups Coriander (Dhania) Leaves,cup Mint Leaves (Pudina),Green Chillies,Onion,inch Ginger,cloves Garlic"
17,"cups curd,cup gourd,cucumber,green,green coriander,/ teaspoon cumin powder,salt"
18,"Potatoes (Aloo),teaspoon Garlic powder,teaspoon Onion powder,teaspoon Dried oregano,tablespoon Coriander (Dhania) Leaves,teaspoon Red Chilli flakes,tablespoon All Purpose Flour (Maida),tablespoon Rice flour,Salt,Sunflower Oil"
19,"cup rice,small onions,cloves garlic,inch ginger,green chillies,bay leaf,tsp red chilli powder,tsp turmeric powder,carrot,green beans,potatoes,ghee,cloves,inch cinnamon,tsp fennel,tsp whole pepper,tsp coriander seeds,/ cup green peas,/ cup mint leaves"
20,"amla,small onions,bud garlic,green chillies,/ cup mint,/ cup coriander,salt,tsp oil,tsp oil,/ tsp rye,/ tsp urad dal,/ tsp chana dal,sprig curry leaves,cashew nuts"
21,"/ cup Gram flour (besan),/ cup Whole Wheat Flour,/ cup Rice flour,Cucumber,teaspoon Turmeric powder (Haldi),teaspoon Cumin powder (Jeera),teaspoon Coriander Powder (Dhania),teaspoon Red Chilli powder,Green Chillies,/ cup Coriander (Dhania) Leaves,cloves Garlic,Salt,Ghee"
22,"Submarine Bread (Subway Bread),/ cup Green Moong Sprouts,Beetroot,cloves Garlic,/ cup Hung Curd (Greek Yogurt),tablespoon Coriander (Dhania) Leaves,Tomatoes,Stalks Spring Onion (Bulb & Greens),Tabasco Original - Hot Sauce,Salt and Pepper"
23,"Drumstick,/ cup Fresh coconut,Green Chillies,sprig Curry leaves,teaspoon Mustard seeds,teaspoons Coconut Oil,Dry Red Chillies,/ teaspoon Turmeric powder (Haldi),Salt,Water"
24,"/ cup Mango Pulp (Puree),cup Curd (Dahi / Yogurt),tablespoon Sugar,pinch Saffron strands,tablespoons Badam (Almond),tablespoons Milk,Ice cubes"
25,"cup idli dosa mixture,tablespoons rice rava,/ cup jaggery,tablespoons coconut,tablespoon of cardamom powder,salt,water,oil"
26,"Cardamom (Elaichi) Pods/Seeds,Whole Black Peppercorns,/ inch Cinnamon Stick (Dalchini),cloves Cloves (Laung),Mace (Javitri),Bay leaf (tej patta),Black cardamom (Badi Elaichi),/ teaspoon Kasuri Methi (Dried Fenugreek Leaves),/ teaspoon Kashmiri Red Chilli Powder,/ teaspoon Turmeric powder (Haldi),teaspoon Coriander Powder (Dhania),/ teaspoon Garam masala powder,Samosas,Cashew nuts,Green Chilli,Onion,Tomato,/ inch Ginger,/ teaspoon Sugar,tablespoon Fresh cream,tablespoons Sunflower Oil"
27,"Baguette,/ tablespoon Butter,/ tablespoon Garlic,cup Spinach Leaves (Palak),Red Bell pepper (Capsicum),Tomato,Onion,tablespoon Black pepper powder,tablespoon Italian seasoning,teaspoon Fresh cream,cup Cheddar cheese,Salt,tablespoon Roasted tomato pasta sauce"
28,"cup Whole Wheat Flour,cup All Purpose Flour (Maida),teaspoon Ajwain (Carom seeds),teaspoon Cumin seeds (Jeera),tablespoons Ghee,Salt,Sunflower Oil,cup Chana dal (Bengal Gram Dal),/ teaspoon Turmeric powder (Haldi),/ teaspoon Garam masala powder,/ teaspoon Red Chilli powder,teaspoon Amchur (Dry Mango Powder),/ teaspoon Sugar,Salt,tablespoon Ghee,/ teaspoon Asafoetida (hing),teaspoon Cumin seeds (Jeera),Green Chillies,sprig Curry leaves,/ cup Sweet Chutney (Date & Tamarind),/ cup Green Chutney (Coriander & Mint),Onion,/ cup Fresh Pomegranate Fruit Kernels,/ cup Sev"
29,"grams Green beans (French Beans),cloves Garlic,tablespoon Soy sauce,tablespoons Thai Sweet Chilli Sauce,Lemon,tablespoons Rice Wine Vinegar,/ cup Roasted Peanuts (Moongphali),Salt,tablespoon Sesame (Gingelly) Oil"
30,"tablespoon Sunflower Oil,All Purpose Flour (Maida),/ teaspoon Baking powder,Water,Sunflower Oil,tablespoons Honey,tablespoon Sugar,tablespoon Sesame seeds (Til seeds),tablespoons Water,/ teaspoon Vanilla Extract"
31,"/ cup Sundkai,/ cup fenugreek,/ cup Arhar dal,/ Tomato,Tamarind,/ tsp Turmeric Powder,tsp Sambar Powder,tsp Coriander Powder,/ teaspoon mustard,/ teaspoon cumin seeds,dry red chili,/ teaspoon asafoetida,oil,salt,curry leaves,green coriander,water"
