,TranslatedIngredients
0,"karela (bitterourd/ pavakkai),salt,onion,ram flour (besan),turmeric powder (haldi),red chilli powder,cumin seeds (jeera),coriander powder (dhania),amchur (dry mango powder),sunflower oil"
1,"s rice,tomatoes,bc belle bhat powder,salt,chickpea lentils,cumin seeds,white urad dal,mustard,green chilli,dry red chilli,cashew,oil"
2,"s rice vermicelli noodles (thin),onion,carrots (gajjar),reen peas (matar),green chillies,asafoetida (hing),mustard seeds,white urad dal (split),hee,spricurry leaves,salt,lemon juice"
3,"chicken,onion,tomato,green chillies,inchinger,clovesarlic,turmeric powder (haldi),aram masala powder,sesame (gingelly) oil,salt,methi seeds (fenugreek seeds),coriander (dhania) seeds,dry red chillies,fennel seeds (saunf),sesame (gingelly) oil,clovesarlic,s sorrel leaves (gongura),salt"
4,"chana dal,white urad dal,red chillies,coriander seeds,inchesinger,onion,tomato,salt,mustard,asafoetida,oil,spricurry"
5,"rice,yellow moondal (split),mint leaves (pudina),coriander (dhania) leaves,green chilli,inchinger,cumin seeds (jeera),s water,sunflower oil,salt,hee,cashew nuts,cumin seeds (jeera),whole black peppercorns,spricurry leaves,asafoetida (hing)"
6,"vellai poosanikai (ashourd/white pumpkin),turmeric powder (haldi),salt,sunflower oil,dry red chillies,fresh coconut,tamarind water,methi seeds (fenugreek seeds),cumin seeds (jeera),coriander (dhania) seeds,sesame seeds (til seeds),jaggery,tamarind water,sunflower oil,mustard seeds,spricurry leaves,dry red chillies"
7,"tortillas,black beans,to  spinach leaves (palak),onion,tomato,clovesarlic,spricoriander (dhania) leaves,rice,lemon juice,sprinonionreens,cheddar cheese,huncurd (greek yogurt)"
8,"idli,reen bell pepper (capsicum),tomato,onions,green chillies,red chilli powder,turmeric powder (haldi),tomato ketchup,coriander (dhania) leaves,mint leaves (pudina),sunflower oil,salt"
9,"cabbage leaves,tomatoes,tamarind,white urad dal,red chillies,salt,asafoetida,clovesarlic,turmeric powder,bispoon oil,rye,cumin seeds,spricurry leaves"
10,"dry beans,extra virgin olive oil,onion,clovearlic,tomatoes,honey,cumin powder (jeera),dried oregano,red chilli powder,salt and pepper"
11,"burger buns,pickled jalapenos,cheese slices,potatoes (aloo),onion,red chilli powder,salt,whole egg,whole wheat bread crumbs,clovesarlic,onions,tomatoes,homemade tomato puree,green bell pepper (capsicum),soyranules,red chilli powder,red chilli flakes,cumin powder (jeera),dried oregano,tabasco original,honey,salt,sunflower oil"
12,"tamarind water,arhar dal (split toor dal),asafoetida (hing),salt,mustard seeds,cumin seeds (jeera),methi seeds (fenugreek seeds),spricurry leaves,asafoetida (hing),sunflower oil"
13,"aar maach (fish),tomato,bay leaves (tej patta),inger,green chillies,cumin powder (jeera),coriander powder (dhania),salt,cumin seeds (jeera),turmeric powder (haldi),green chillies,mustard oil,s water,sugar,coriander (dhania) leaves"
14,"potatoes (aloo),fennel seeds (saunf),red chilli powder,turmeric powder (haldi),fresh cream,spricoriander (dhania) leaves"
15,"onions,cumin seeds,black urad dal (split),tamarind paste,dry red chillies,jaggery,oil,salt,as per taste rye,spricurry leaves,oil"
16,"whole eggs,cinnamon stick (dalchini),bay leaf (tej patta),cloves (laung),sunflower oil,coriander powder (dhania),aram masala powder,fresh cream,s coriander (dhania) leaves,mint leaves (pudina),green chillies,onion,inchinger,clovesarlic"
17,"s curd,ourd,cucumber,green,green coriander,cumin powder,salt"
18,"potatoes (aloo),arlic powder,onion powder,dried oregano,coriander (dhania) leaves,red chilli flakes,all purpose flour (maida),rice flour,salt,sunflower oil"
19,"rice,small onions,clovesarlic,inchinger,green chillies,bay leaf,red chilli powder,turmeric powder,carrot,green beans,potatoes,ghee,cloves,inch cinnamon,fennel,whole pepper,coriander seeds,reen peas,mint leaves"
20,"amla,small onions,budarlic,green chillies,mint,coriander,salt,oil,oil,rye,urad dal,chana dal,spricurry leaves,cashew nuts"
21,"ram flour (besan),whole wheat flour,rice flour,cucumber,turmeric powder (haldi),cumin powder (jeera),coriander powder (dhania),red chilli powder,green chillies,coriander (dhania) leaves,clovesarlic,salt,ghee"
22,"submarine bread (subway bread),reen moonsprouts,beetroot,clovesarlic,huncurd (greek yogurt),coriander (dhania) leaves,tomatoes,stalks sprinonion (bulb &reens),tabasco original - hot sauce,salt and pepper"
23,"drumstick,fresh coconut,green chillies,spricurry leaves,mustard seeds,coconut oil,dry red chillies,turmeric powder (haldi),salt,water"
24,"mango pulp (puree),curd (dahi / yogurt),sugar,saffron strands,badam (almond),milk,ice cubes"
25,"idli dosa mixture,rice rava,jaggery,coconut,of cardamom powder,salt,water,oil"
26,"cardamom (elaichi) pods/seeds,whole black peppercorns,inch cinnamon stick (dalchini),cloves cloves (laung),mace (javitri),bay leaf (tej patta),black cardamom (badi elaichi),kasuri methi (dried fenugreek leaves),kashmiri red chilli powder,turmeric powder (haldi),coriander powder (dhania),aram masala powder,samosas,cashew nuts,green chilli,onion,tomato,inchinger,sugar,fresh cream,sunflower oil"
27,"baguette,butter,arlic,spinach leaves (palak),red bell pepper (capsicum),tomato,onion,black pepper powder,italian seasoning,fresh cream,cheddar cheese,salt,roasted tomato pasta sauce"
28,"whole wheat flour,all purpose flour (maida),ajwain (carom seeds),cumin seeds (jeera),hee,salt,sunflower oil,chana dal (bengalram dal),turmeric powder (haldi),aram masala powder,red chilli powder,amchur (dry mango powder),sugar,salt,hee,asafoetida (hing),cumin seeds (jeera),green chillies,spricurry leaves,sweet chutney (date & tamarind),reen chutney (coriander & mint),onion,fresh pomegranate fruit kernels,sev"
