karela,bitter gourd,pavakkai
gram flour,besan
turmeric powder,haldi
cumin seeds,jeera
coriander powder,dhania
amchur,dry mango powder
rice vermicelli noodles,thin
carrots,gajjar
green peas,matar
asafoetida,hing
turmeric powder,haldi
sesame,gingelly oil
methi seeds,fenugreek seeds
coriander,dhania seeds
fennel seeds,saunf
sesame,gingelly oil
sorrel leaves,gongura
mint leaves,pudina
coriander,dhania leaves
cumin seeds,jeera
cumin seeds,jeera
asafoetida,hing
vellai poosanikai,ash gourd,white pumpkin
turmeric powder,haldi
methi seeds,fenugreek seeds
cumin seeds,jeera
coriander,dhania seeds
sesame seeds,til seeds
spinach leaves,palak
sprig coriander,dhania leaves
hung curd,greek yogurt
green bell pepper,capsicum
turmeric powder,haldi
coriander,dhania leaves
mint leaves,pudina
cumin powder,jeera
potatoes,aloo
green bell pepper,capsicum
cumin powder,jeera
arhar dal,toor dal
asafoetida,hing
cumin seeds,jeera
methi seeds,fenugreek seeds
asafoetida,hing
aar maach,fish
bay leaves,tej patta
cumin powder,jeera
coriander powder,dhania
cumin seeds,jeera
turmeric powder,haldi
coriander,dhania leaves
potatoes,aloo
fennel seeds,saunf
turmeric powder,haldi
sprig coriander,dhania leaves
cinnamon stick,dalchini
bay leaf,tej patta
cloves,laung
coriander powder,dhania
coriander,dhania leaves
mint leaves,pudina
potatoes,aloo
coriander,dhania leaves
purpose flour,maida
gram flour,besan
turmeric powder,haldi
cumin powder,jeera
coriander powder,dhania
coriander,dhania leaves
submarine bread,subway bread
hung curd,greek yogurt
coriander,dhania leaves
stalks spring onion,bulb & greens
turmeric powder,haldi
mango pulp,puree
curd,dahi,yogurt
badam,almond
cardamom,elaichi pods,seeds
inch cinnamon stick,dalchini
cloves cloves,laung
mace,javitri
bay leaf,tej patta
black cardamom,badi elaichi
kasuri methi,dried fenugreek leaves
turmeric powder,haldi
coriander powder,dhania
spinach leaves,palak
red bell pepper,capsicum
purpose flour,maida
ajwain,carom seeds
cumin seeds,jeera
chana dal,bengal gram dal
turmeric powder,haldi
amchur,dry mango powder
asafoetida,hing
cumin seeds,jeera
sweet chutney,date & tamarind
green chutney,coriander & mint
green beans,french beans
roasted peanuts,moongphali
sesame,gingelly oil
purpose flour,maida
sesame seeds,til seeds
cabbage,patta gobi,muttaikose
purpose flour,maida
cumin seeds,jeera
cinnamon powder,dalchini
amchur,dry mango powder
green peas,matar
purpose flour,maida
purpose flour,maida
cardamom powder,elaichi
tindora,dondakaya,kovakkai
methi seeds,methi kuria
mustard seeds,rai kuria
turmeric powder,haldi
asafoetida,hing
hung curd,greek yogurt
turmeric powder,haldi
cumin seeds,jeera
coriander,dhania seeds
methi seeds,fenugreek seeds
kalonji,onion nigella seeds
fennel seeds,saunf
inch cinnamon stick,dalchini
cloves,laung
cardamom,elaichi pods,seeds
jackfruit seeds,kathal
cumin seeds,jeera
turmeric powder,haldi
asafoetida,hing
coriander,dhania leaves
coriander,dhania seeds
jackfruit seeds,kathal
kala chana,brown chickpeas
cumin seeds,jeera
turmeric powder,haldi
cumin seeds,jeera
coriander,dhania seeds
cloves,laung
inch cinnamon stick,dalchini
red bell pepper,capsicum
makki ka atta,yellow corn meal flour
methi leaves,fenugreek leaves
ajwain,carom seeds
carrots,gajjar
cabbage,patta gobi,muttaikose
green bell pepper,capsicum
