TranslatedRecipeName,TranslatedIngredients
Masala Karela Recipe,"karela,gram flour,amchur"
Spicy Tomato Rice (Recipe),"rice,bc belle bhat powder,chickpea lentils,white urad dal,mustard,cashew,oil"
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"white urad dal,sprig curry leaves,lemon juice,rice vermicelli noodles,carrots,green peas"
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"chicken,garam masala powder,sesame,methi seeds,fennel seeds,sesame,sorrel leaves"
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),"chana dal,white urad dal,red chillies,coriander seeds,inches ginger,mustard,oil,sprig curry"
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"rice,yellow moong dal,cashew nuts,whole black peppercorns,sprig curry leaves,mint leaves"
Udupi Style Ash Gourd Coconut Curry Recipe,"fresh coconut,tamarind water,jaggery,tamarind water,sprig curry leaves,vellai poosanikai,methi seeds,sesame seeds"
Mexican Style Black Bean Burrito Recipe,"tortillas,black beans,rice,lemon juice,spring onion greens,cheddar cheese,spinach leaves,sprig coriander,hung curd"
Spicy Crunchy Masala Idli Recipe,"idli,tomato ketchup,green bell pepper,mint leaves"
Cauliflower Leaves Chutney (Recipe in Hindi),"cabbage leaves,tamarind,white urad dal,red chillies,big spoon oil,rye,sprig curry leaves"
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,"tamarind water,sprig curry leaves,arhar dal,methi seeds"
Saunf Aloo (Fennel Potato Curry) Recipe,"fresh cream,potatoes,fennel seeds,sprig coriander"
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"black urad dal,tamarind paste,jaggery,oil,rye,sprig curry leaves,oil"
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"whole eggs,garam masala powder,fresh cream,cinnamon stick,bay leaf,cloves,mint leaves"
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"curd,gourd,cucumber,green,green coriander,cumin powder"
Homemade Tater Tots Recipe,"garlic powder,onion powder,dried oregano,red chilli flakes,rice flour,potatoes,purpose flour"
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,"rice,small onions,bay leaf,carrot,green beans,potatoes,cloves,inch cinnamon,fennel,whole pepper,coriander seeds,green peas,mint leaves"
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,"amla,small onions,bud garlic,mint,oil,oil,rye,urad dal,chana dal,sprig curry leaves,cashew nuts"
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"whole wheat flour,rice flour,cucumber,gram flour,cumin powder"
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"green moong sprouts,beetroot,tabasco original - hot sauce,salt pepper,submarine bread,hung curd,stalks spring onion,bulb  greens"
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"drumstick,fresh coconut,sprig curry leaves,coconut oil"
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"saffron strands,milk,ice cubes,mango pulp,curd,badam"
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,"idli dosa mixture,rice rava,jaggery,coconut,cardamom powder,oil"
Mini Dal Samosa Curry / Sabzi Recipe,"whole black peppercorns,kashmiri red chilli powder,garam masala powder,samosas,cashew nuts,fresh cream,cardamom,inch cinnamon stick,cloves cloves,mace,bay leaf,black cardamom,kasuri methi"
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"baguette,butter,garlic,black pepper powder,italian seasoning,fresh cream,cheddar cheese,roasted tomato pasta sauce,spinach leaves,red bell pepper"
Mini Dal Mature Chat Recipe - That Perfect Party Snack,"whole wheat flour,garam masala powder,sprig curry leaves,fresh pomegranate fruit kernels,sev,purpose flour,ajwain,chana dal,amchur,sweet chutney,date  tamarind,green chutney,coriander  mint"
Asian Style Sweet & Spicy Green Beans Recipe,"soy sauce,thai sweet chilli sauce,lemon,rice wine vinegar,green beans,roasted peanuts,sesame"
Chinese Darsaan Recipe With Ice Cream,"baking powder,honey,vanilla extract,purpose flour,sesame seeds"
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,"sundkai,fenugreek,arhar dal,tamarind,sambar powder,mustard,dry red chili,oil,curry leaves,green coriander"
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe","spinach,fresh pomegranate fruit kernels,lemon juice,extra virgin olive oil,salt pepper,cabbage"
Matar Samosa Recipe -Green Pea Samosa,"green chilli sauce,garam masala powder,purpose flour,cinnamon powder,amchur,green peas,purpose flour"
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"dark chocolate,cocoa powder,salted butter,milk,baking powder,baking soda,vanilla extract,britannia cream cheese,caster sugar,vanilla extract,fresh raspberries,purpose flour"
Kerala pala pradham recipe,"ada,milk,cardamom powder"
Tindora Sambharo Recipe - Instant Tendli Pickle,"lemon,tindora,methi seeds"
Chettinad Style Chicken Roast Recipe,"chicken legs,fresh coconut,whole black peppercorns,tamarind paste,jaggery,sprig curry leaves,hung curd,methi seeds,kalonji,fennel seeds,inch cinnamon stick,cloves,cardamom"
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,"tamarind water,curry leaves,sambar powder,fresh coconut,whole black peppercorns,jackfruit seeds"
Baingan Bharta Recipe - Brinjal Bharta Recipe,"eggplant,garam masala powder,butter,red chili powder,oil,sprigs coriander"
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"tea leaves,milk,saffron strands"
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,"raw mango,tamarind water,jaggery,sambar powder,mustard,sprig curry leaves,oil"
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"sprig curry leaves,tamarind water,fresh coconut,jackfruit seeds,kala chana,cloves,inch cinnamon stick"
Whole Wheat Crepe Recipe With Herbed Vegetables,"whole wheat flour,italian seasoning,cheese spread,broccoli,sprig parsley leaves,red bell pepper"
Makki and Methi Roti Recipe,"kashmiri red chilli powder,makki ka atta,methi leaves,ajwain"
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"lemon juice,sprig curry leaves,carrots,cabbage,green bell pepper"
Whole Wheat Pita Bread Recipe,"whole wheat flour,active dry yeast,lukewarm water,extra virgin olive oil,purpose flour"
Andhra Steel Tomato Knock Recipe (Tomato Chutney),"tamarind paste,methi seeds"
Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,"brown rice,long garlic,oregano,rosemary,red chilli flakes,oil"
Aamras Recipe - Ripe Mango Ras,mango
Rajasthani very roti recipe,whole wheat flour
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"white urad dal,curry leaves,tamarind,curry leaves,ridge gourd skin,methi seeds"
Dalia Pakora Recipe - Dalia Pakora Recipe,"enos fruit salt,broken wheat,gram flour,ajwain"
Pan Fried Rice Balls Filled With Cheese Recipe,"extra virgin olive oil,jasmine rice,sweet corn,parsley leaves,parmesan cheese,mozzarella cheese,whole eggs,whole wheat bread crumbs,butter,purpose flour"
Spicy Chilli Garlic Noodles Recipe,"hakka noodles,soy sauce,red chilli sauce,white vinegar,tomato ketchup,black pepper powder,green bell pepper"
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,"panch phoran masala,ginger,paneer,potato,bay leaf"
Cheesy Garlic Broccoli Nuggets Recipe,"broccoli,mozzarella cheese,nutralite cheesy garlic mayo,corn flour,whole wheat bread crumbs,nutralite garlic & oregano spread"
Bengali radish potato vegetable recipe,"kasundi mustard sauce,mustard oil,mooli,potato,kalonji"
Beetroot Sambar Recipe,"chakundar,arhar dal,tamarind water,sambar powder,mustard,curry leaves,dry red chili,sesame oil,sprig coriander"
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"whole wheat flour,spinach,kaddu"
Iranian Baida Curry Recipe,"whole egg,jaggery,fresh coconut,poppy seeds,sprig coriander,sesame seeds,badam"
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"coconut milk,baking soda,gram flour,ajwain"
Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,"rice flour,sprig curry leaves,white urad dal,sesame"
Singapore Style Chicken Layered Fried Rice Recipe,"boneless chicken,spring onion greens,garlic,soy sauce,lemon juice,black pepper powder,red chilli sauce,red chilli sauce,rice,garlic,ginger,chinese spice powder,white pepper powder,egg noodles,tomato ketchup,red chilli sauce,vinegar,cumin powder,sweet spicy red chilli sauce,green bell pepper,spring onion,bulb  greens,carrots,classic mayonnaise"
Tofu Pulao Recipe,"rice,bay leaf,lentil sugar,long,ginger garlic paste,garam masala powder,tofu,capsicum"
Masala Sandwich Recipe With Rocket Leaves,"pav bhaji masala,french bread,rocket leaves,paneer,potatoes,green bell pepper"
Tomato Relish Recipe,"red wine vinaigrette,dried oregano,black pepper powder,dijon mustard,cane sugar,extra virgin olive oil"
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,"fresh coconut,garam masala powder,gram flour"
Radish Soup Recipe,"garam masala powder,black pepper powder,mooli,mooli"
