,TranslatedRecipeName
0,Masala Karela Recipe
1,Spicy Tomato Rice (Recipe)
2,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast
3,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken
4,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe)
5,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices)
6,Udupi Style Ash Gourd Coconut Curry Recipe
7,Mexican Style Black Bean Burrito Recipe
8,Spicy Crunchy Masala Idli Recipe
9,Cauliflower Leaves Chutney (Recipe in Hindi)
10,Homemade Baked Beans Recipe (Wholesome & Healthy)
11,Veg Chili Cheese Burgers Recipe
12,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam
13,And fish soup recipe - Bengali style fish in tomato gravy
14,Saunf Aloo (Fennel Potato Curry) Recipe
15,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe)
16,Hariyali Egg Curry Recipe In Coriander and Mint Gravy
17,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad
18,Homemade Tater Tots Recipe
19,Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe
20,Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe
21,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread
22,Homemade Healthy Subway Sandwich Recipe With Beet & Sprout
23,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry
24,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe
25,Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe
26,Mini Dal Samosa Curry / Sabzi Recipe
27,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce
28,Mini Dal Mature Chat Recipe - That Perfect Party Snack
29,Asian Style Sweet & Spicy Green Beans Recipe
30,Chinese Darsaan Recipe With Ice Cream
31,Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe
32,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe"
33,Matar Samosa Recipe -Green Pea Samosa
34,Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting
35,Kerala pala pradham recipe
36,Tindora Sambharo Recipe - Instant Tendli Pickle
37,Chettinad Style Chicken Roast Recipe
38,Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry
39,Baingan Bharta Recipe - Brinjal Bharta Recipe
40,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea
41,Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe
42,Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry
43,Whole Wheat Crepe Recipe With Herbed Vegetables
44,Makki and Methi Roti Recipe
45,Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry
46,Whole Wheat Pita Bread Recipe
47,Andhra Steel Tomato Knock Recipe (Tomato Chutney)
48,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe
49,Aamras Recipe - Ripe Mango Ras
50,Rajasthani very roti recipe
51,Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney)
52,Dalia Pakora Recipe - Dalia Pakora Recipe
