,TranslatedIngredients
0,"karelabitterourdpavakkai,salt,onion,ramflourbesan,turmericpowderhaldi,redchillipowder,cuminseedsjeera,corianderpowderdhania,amchurdrymangopowder,sunfloweroil"
1,"rice,tomatoes,bcbellebhatpowder,salt,chickpealentils,cuminseeds,whiteuraddal,mustard,greenchilli,dryredchilli,cashew,oil"
2,"ricevermicellinoodlesthin,onion,carrotsgajjar,reenpeasmatar,greenchillies,asafoetidahing,mustardseeds,whiteuraddal,hee,spricurryleaves,salt,lemonjuice"
3,"chicken,onion,tomato,greenchillies,inchinger,clovesarlic,turmericpowderhaldi,arammasalapowder,sesamegingellyoil,salt,methiseedsfenugreekseeds,corianderdhaniaseeds,dryredchillies,fennelseedssaunf,sesamegingellyoil,clovesarlic,sorrelleavesgongura,salt"
4,"chanadal,whiteuraddal,redchillies,corianderseeds,inchesinger,onion,tomato,salt,mustard,asafoetida,oil,spricurry"
5,"rice,yellowmoondal,mintleavespudina,corianderdhanialeaves,greenchilli,inchinger,cuminseedsjeera,water,sunfloweroil,salt,hee,cashewnuts,cuminseedsjeera,wholeblackpeppercorns,spricurryleaves,asafoetidahing"
6,"vellaipoosanikaiashourdwhitepumpkin,turmericpowderhaldi,salt,sunfloweroil,dryredchillies,freshcoconut,tamarindwater,methiseedsfenugreekseeds,cuminseedsjeera,corianderdhaniaseeds,sesameseedstilseeds,jaggery,tamarindwater,sunfloweroil,mustardseeds,spricurryleaves,dryredchillies"
7,"tortillas,blackbeans,spinachleavespalak,onion,tomato,clovesarlic,spricorianderdhanialeaves,rice,lemonjuice,sprinonionreens,cheddarcheese,huncurdgreekyogurt"
8,"idli,reenbellpeppercapsicum,tomato,onions,greenchillies,redchillipowder,turmericpowderhaldi,tomatoketchup,corianderdhanialeaves,mintleavespudina,sunfloweroil,salt"
9,"cabbageleaves,tomatoes,tamarind,whiteuraddal,redchillies,salt,asafoetida,clovesarlic,turmericpowder,bispoonoil,rye,cuminseeds,spricurryleaves"
10,"drybeans,extravirginoliveoil,onion,clovearlic,tomatoes,honey,cuminpowderjeera,driedoregano,redchillipowder,saltpepper"
11,"burgerbuns,pickledjalapenos,cheeseslices,potatoesaloo,onion,redchillipowder,salt,wholeegg,wholewheatbreadcrumbs,clovesarlic,onions,tomatoes,homemadetomatopuree,greenbellpeppercapsicum,soyranules,redchillipowder,redchilliflakes,cuminpowderjeera,driedoregano,tabascooriginal,honey,salt,sunfloweroil"
12,"tamarindwater,arhardaltoordal,asafoetidahing,salt,mustardseeds,cuminseedsjeera,methiseedsfenugreekseeds,spricurryleaves,asafoetidahing,sunfloweroil"
13,"aarmaachfish,tomato,bayleavestejpatta,inger,greenchillies,cuminpowderjeera,corianderpowderdhania,salt,cuminseedsjeera,turmericpowderhaldi,greenchillies,mustardoil,water,sugar,corianderdhanialeaves"
14,"potatoesaloo,fennelseedssaunf,redchillipowder,turmericpowderhaldi,freshcream,spricorianderdhanialeaves"
15,"onions,cuminseeds,blackuraddal,tamarindpaste,dryredchillies,jaggery,oil,salt,rye,spricurryleaves,oil"
16,"wholeeggs,cinnamonstickdalchini,bayleaftejpatta,cloveslaung,sunfloweroil,corianderpowderdhania,arammasalapowder,freshcream,corianderdhanialeaves,mintleavespudina,greenchillies,onion,inchinger,clovesarlic"
17,"curd,ourd,cucumber,green,greencoriander,cuminpowder,salt"
18,"potatoesaloo,arlicpowder,onionpowder,driedoregano,corianderdhanialeaves,redchilliflakes,purposeflourmaida,riceflour,salt,sunfloweroil"
19,"rice,smallonions,clovesarlic,inchinger,greenchillies,bayleaf,redchillipowder,turmericpowder,carrot,greenbeans,potatoes,ghee,cloves,inchcinnamon,fennel,wholepepper,corianderseeds,reenpeas,mintleaves"
20,"amla,smallonions,budarlic,greenchillies,mint,coriander,salt,oil,oil,rye,uraddal,chanadal,spricurryleaves,cashewnuts"
21,"ramflourbesan,wholewheatflour,riceflour,cucumber,turmericpowderhaldi,cuminpowderjeera,corianderpowderdhania,redchillipowder,greenchillies,corianderdhanialeaves,clovesarlic,salt,ghee"
22,"submarinebreadsubwaybread,reenmoonsprouts,beetroot,clovesarlic,huncurdgreekyogurt,corianderdhanialeaves,tomatoes,stalkssprinonionbulbreens,tabascooriginalhotsauce,saltpepper"
23,"drumstick,freshcoconut,greenchillies,spricurryleaves,mustardseeds,coconutoil,dryredchillies,turmericpowderhaldi,salt,water"
24,"mangopulppuree,curddahiyogurt,sugar,saffronstrands,badamalmond,milk,icecubes"
25,"idlidosamixture,ricerava,jaggery,coconut,cardamompowder,salt,water,oil"
26,"cardamomelaichipodsseeds,wholeblackpeppercorns,inchcinnamonstickdalchini,clovescloveslaung,macejavitri,bayleaftejpatta,blackcardamombadielaichi,kasurimethidriedfenugreekleaves,kashmiriredchillipowder,turmericpowderhaldi,corianderpowderdhania,arammasalapowder,samosas,cashewnuts,greenchilli,onion,tomato,inchinger,sugar,freshcream,sunfloweroil"
27,"baguette,butter,arlic,spinachleavespalak,redbellpeppercapsicum,tomato,onion,blackpepperpowder,italianseasoning,freshcream,cheddarcheese,salt,roastedtomatopastasauce"
28,"wholewheatflour,purposeflourmaida,ajwaincaromseeds,cuminseedsjeera,hee,salt,sunfloweroil,chanadalbengalramdal,turmericpowderhaldi,arammasalapowder,redchillipowder,amchurdrymangopowder,sugar,salt,hee,asafoetidahing,cuminseedsjeera,greenchillies,spricurryleaves,sweetchutneydatetamarind,reenchutneycoriandermint,onion,freshpomegranatefruitkernels,sev"
